Variant,RadialStiffness,LateralStiffness,TangentialStiffness,TorsionalStiffness,CorneringStiffness,SelfAligningTorque
IP 0.75 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 0.9,837.00,777.00,1289.00,143.00,112.00,79.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 1.1,837.00,773.00,1287.00,155.00,119.00,76.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 0,833.00,761.00,1293.00,130.00,99.00,73.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 0.9,827.00,770.00,1295.00,158.00,98.00,80.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 1.1,830.00,769.00,1282.00,153.00,102.00,83.00
IP 1.25 + BA 0 + CS 0 + EPI 0 + Mat 0,823.00,767.00,1287.00,158.00,114.00,78.00
IP 1.25 + BA 0 + CS 0 + EPI 0 + Mat 0.9,821.00,763.00,1282.00,135.00,111.00,83.00
IP 1.25 + BA 0 + CS 0 + EPI 0 + Mat 1.1,840.00,770.00,1291.00,131.00,100.00,82.00
IP 1.25 + BA 0 + CS 0 + EPI 0.9 + Mat 0,828.00,758.00,1287.00,157.00,98.00,80.00
IP 1.25 + BA 0 + CS 0 + EPI 0.9 + Mat 0.9,825.00,757.00,1291.00,155.00,103.00,76.00
IP 1.25 + BA 0 + CS 0 + EPI 0.9 + Mat 1.1,820.00,772.00,1294.00,141.00,93.00,73.00
IP 1.25 + BA 0 + CS 0 + EPI 1.1 + Mat 0,840.00,752.00,1282.00,134.00,116.00,76.00
IP 1.25 + BA 0 + CS 0 + EPI 1.1 + Mat 0.9,827.00,764.00,1284.00,157.00,100.00,78.00
IP 1.25 + BA 0 + CS 0 + EPI 1.1 + Mat 1.1,831.00,756.00,1291.00,151.00,83.00,70.00
IP 1.25 + BA 0 + CS 0.9 + EPI 0 + Mat 0,821.00,765.00,1298.00,141.00,116.00,81.00
IP 1.25 + BA 0 + CS 0.9 + EPI 0 + Mat 0.9,831.00,776.00,1281.00,142.00,116.00,85.00
IP 1.25 + BA 0 + CS 0.9 + EPI 0 + Mat 1.1,824.00,754.00,1288.00,158.00,88.00,75.00
IP 1.25 + BA 0 + CS 0.9 + EPI 0.9 + Mat 0,840.00,753.00,1280.00,158.00,111.00,76.00
IP 1.25 + BA 0 + CS 0.9 + EPI 0.9 + Mat 0.9,822.00,753.00,1298.00,148.00,111.00,81.00
IP 1.25 + BA 0 + CS 0.9 + EPI 0.9 + Mat 1.1,837.00,753.00,1300.00,147.00,104.00,77.00
IP 1.25 + BA 0 + CS 0.9 + EPI 1.1 + Mat 0,832.00,769.00,1284.00,157.00,117.00,75.00
IP 1.25 + BA 0 + CS 0.9 + EPI 1.1 + Mat 0.9,830.00,757.00,1295.00,134.00,102.00,72.00
IP 1.25 + BA 0 + CS 0.9 + EPI 1.1 + Mat 1.1,831.00,772.00,1280.00,149.00,95.00,85.00
IP 1.25 + BA 0 + CS 1.1 + EPI 0 + Mat 0,823.00,760.00,1296.00,146.00,111.00,71.00
IP 1.25 + BA 0 + CS 1.1 + EPI 0 + Mat 0.9,837.00,775.00,1283.00,145.00,94.00,75.00
IP 1.25 + BA 0 + CS 1.1 + EPI 0 + Mat 1.1,822.00,766.00,1287.00,158.00,84.00,85.00
IP 1.25 + BA 0 + CS 1.1 + EPI 0.9 + Mat 0,829.00,761.00,1289.00,147.00,80.00,85.00
IP 1.25 + BA 0 + CS 1.1 + EPI 0.9 + Mat 0.9,824.00,768.00,1299.00,147.00,107.00,76.00
IP 1.25 + BA 0 + CS 1.1 + EPI 0.9 + Mat 1.1,827.00,755.00,1290.00,134.00,96.00,82.00
IP 1.25 + BA 0 + CS 1.1 + EPI 1.1 + Mat 0,832.00,750.00,1296.00,148.00,111.00,71.00
IP 1.25 + BA 0 + CS 1.1 + EPI 1.1 + Mat 0.9,837.00,774.00,1298.00,132.00,90.00,76.00
IP 1.25 + BA 0 + CS 1.1 + EPI 1.1 + Mat 1.1,835.00,773.00,1286.00,134.00,111.00,71.00
IP 1.25 + BA 0.9 + CS 0 + EPI 0 + Mat 0,831.00,750.00,1296.00,139.00,102.00,71.00
IP 1.25 + BA 0.9 + CS 0 + EPI 0 + Mat 0.9,838.00,751.00,1298.00,132.00,83.00,80.00
IP 1.25 + BA 0.9 + CS 0 + EPI 0 + Mat 1.1,829.00,768.00,1293.00,159.00,94.00,76.00
IP 1.25 + BA 0.9 + CS 0 + EPI 0.9 + Mat 0,826.00,776.00,1293.00,131.00,83.00,79.00
IP 1.25 + BA 0.9 + CS 0 + EPI 0.9 + Mat 0.9,820.00,780.00,1281.00,155.00,106.00,80.00
IP 1.25 + BA 0.9 + CS 0 + EPI 0.9 + Mat 1.1,828.00,770.00,1286.00,160.00,109.00,71.00
IP 1.25 + BA 0.9 + CS 0 + EPI 1.1 + Mat 0,836.00,774.00,1296.00,143.00,109.00,79.00
IP 1.25 + BA 0.9 + CS 0 + EPI 1.1 + Mat 0.9,830.00,775.00,1283.00,156.00,85.00,78.00
IP 1.25 + BA 0.9 + CS 0 + EPI 1.1 + Mat 1.1,828.00,775.00,1285.00,149.00,105.00,73.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 0 + Mat 0,838.00,779.00,1285.00,130.00,113.00,75.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 0 + Mat 0.9,822.00,779.00,1284.00,135.00,83.00,81.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 0 + Mat 1.1,831.00,752.00,1291.00,156.00,95.00,77.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 0,838.00,755.00,1289.00,158.00,109.00,85.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 0.9,830.00,764.00,1291.00,131.00,85.00,81.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 1.1,820.00,768.00,1292.00,145.00,81.00,82.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 0,825.00,756.00,1285.00,145.00,108.00,73.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 0.9,824.00,771.00,1300.00,155.00,109.00,80.00
IP 1.25 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 1.1,832.00,773.00,1290.00,135.00,112.00,81.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 0 + Mat 0,828.00,758.00,1294.00,155.00,111.00,82.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 0 + Mat 0.9,834.00,779.00,1285.00,145.00,110.00,73.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 0 + Mat 1.1,837.00,750.00,1286.00,142.00,110.00,80.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 0.9 + Mat 0,827.00,753.00,1292.00,132.00,100.00,73.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 0.9 + Mat 0.9,834.00,770.00,1297.00,140.00,112.00,73.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 0.9 + Mat 1.1,837.00,755.00,1291.00,153.00,110.00,84.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 0,839.00,762.00,1286.00,160.00,115.00,85.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 0.9,824.00,751.00,1287.00,150.00,85.00,83.00
IP 1.25 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 1.1,829.00,767.00,1280.00,140.00,115.00,78.00
IP 1.25 + BA 1.1 + CS 0 + EPI 0 + Mat 0,831.00,770.00,1297.00,150.00,92.00,83.00
IP 1.25 + BA 1.1 + CS 0 + EPI 0 + Mat 0.9,822.00,769.00,1288.00,146.00,109.00,75.00
